system
You are a data analyst who always returns frequent itemsets in a clean format (no code).
user
I will give you CSV and your job is to find frequent itemsets of maxlenght 5 with support 0.75. Do not use any code, it is your job to do!<csv>name,legs count,diet,blood,body hair,eggs,breastfeeding 
rabbit,6,carnivore,cold,no,True,negative
human,4,herbivore,cold,no,True,negative
fox,6,herbivore,cold,no,True,negative
platypus,6,omnivore,cold,no,False,negative
</csv>
assistant
```
support,family number_fare鳗鱼,food group,coagulation,abnormality,positive_number_of_pairs
0.385_to_inf,2,true_carnivore,no,no,Yes,no_negative
0.385_to_inf,2,false_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,true_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,true_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,true_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,true_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,true_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,true_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,true_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,false_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,true_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,true_carnivore,no,no,No,Yes_no_negative
0.385_to_inf,2,no_unsafe,no,no,No,Yes_no_negative
0.385_to_inf,2,no_unsafe,no,no,No,Yes_no_negative
fox,1 carnivore,cold,no,yes,No,no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rat,2 carnivore,no_unsafe,no,no,Yes=no_no_negative
rat,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
grainfowl,2 herbivore,no_unsafe,no,no,Yes=no_no_negative
mouse,4 omnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=no_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
mouse,2 carnivore,no_unsafe,no,no,Yes=no_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
grainfowl,2 herbivore,no_unsafe,no,no,Yes=no_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rat,4 omnivore,no_unsafe,no,no,Yes=yes_no_negative
rat,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,6 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rasples,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
fox,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 herbivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,2 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
rabbits,4 carnivore,no_unsafe,no,no,Yes=yes_no_negative
